Spielstätte,Ort,Titel,Anzahl,Komponist,Komponist_ber,Geburtsort,Geschlecht,Geburtsdatum,Geburtsjahr,Alter,Sterbedatum,Verstorben,Art,Bemerkung
Deutsche Oper am Rhein,Düsseldorf/Duisburg,Gold!,7,,Leonard Evers,Heerlen,männlich,,1985,34,0,lebt,sonstiges,Premiere oder Wiederaufnahme?
Wuppertaler Bühnen,Wuppertal,Kleines Stück Himmel,8,,Nuñez Hierro,Cádiz,weiblich,,1980,39,0,lebt,premieren,
"Musiktheater im Revier, Gelsenkirchen",Gelsenkirchen,Und jetzt alle,2,,Moritz Anthes,Wittenberg,männlich,,1980,39,0,lebt,premieren,Zwei Komponisten
Deutsche Oper am Rhein,Düsseldorf/Duisburg,"Schade, dass sie eine Hure war",4,Anno Schreier,Anno Schreier,Aachen,männlich,1979-01-01 00:00:00+00:00,1979,40,0,lebt,premieren,
"Musiktheater im Revier, Gelsenkirchen",Gelsenkirchen,Klein Zaches,4,,Thomas Rimes,Suva,männlich,,1976,43,0,lebt,wiederaufnahmen,
Oper Köln,Köln,Pin Kaiser und Fiß Husar,1,,Frank Engel,,männlich,,1975,44,0,lebt,premieren,Geburtsort?
Deutsche Oper am Rhein,Düsseldorf/Duisburg,Die Schneekönigin,5,,Marius Felix Lange,Berlin,männlich,,1968,51,0,lebt,wiederaufnahmen,
Theater/Oper/Schauspiel Bonn,Bonn,Die Schneekönigin,11,,Marius Felix Lange,Berlin,männlich,,1968,51,0,lebt,premieren,
"Oper, Ballett und Junge Oper Dortmund",Dortmund,Romeo und Zeliha,1,Fons Merkies,Fons Merkies,Zaandam,männlich,1966-06-07 00:00:00+00:00,1966,53,0,lebt,premieren,
Theater Bielefeld,Bielefeld,Dead Man Walking,6,Jake Heggie,Jake Heggie,West Palm Beach,männlich,1961-03-31 00:00:00+00:00,1961,58,0,lebt,premieren,
Wuppertaler Bühnen,Wuppertal,Das Labyrinth,3,Jonathan Dove,Jonathan Dove,Greater London,männlich,1959-07-18 00:00:00+00:00,1959,60,0,lebt,premieren,
Theater/Oper/Schauspiel Bonn,Bonn,Marx in London,9,Jonathan Dove,Jonathan Dove,Greater London,männlich,1959-07-18 00:00:00+00:00,1959,60,0,lebt,premieren,
Theater Krefeld Mönchengladbach,Krefeld/Mönchengladbach,Der Räuber Hotzenplotz,7,Andreas N. Tarkmann,Andreas N. Tarkmann,Hannover,männlich,1956-05-01 00:00:00+00:00,1956,63,0,lebt,premieren,
"Oper, Ballett und Junge Oper Dortmund",Dortmund,Quartett,5,Luca Francesconi,Luca Francesconi,Mailand,männlich,1956-03-17 00:00:00+00:00,1956,63,0,lebt,premieren,
Deutsche Oper am Rhein,Düsseldorf/Duisburg,Geisterritter,5,James Reynolds,James Reynolds,Long Beach,männlich,1953-01-01 00:00:00+00:00,1953,66,0,lebt,premieren,
"Oper, Ballett und Junge Oper Dortmund",Dortmund,Wo die wilden Kerle wohnen,6,Oliver Knussen,Oliver Knussen,Glasgow,männlich,1952-06-12 00:00:00+00:00,1952,67,2018,Tot,premieren,
Deutsche Oper am Rhein,Düsseldorf/Duisburg,Wo die wilden Kerle wohnen,7,Oliver Knussen,Oliver Knussen,Glasgow,männlich,1952-06-12 00:00:00+00:00,1952,67,2018,Tot,wiederaufnahmen,
Theater Krefeld Mönchengladbach,Krefeld/Mönchengladbach,Der goldene Drache,4,,Peter Eötvös,Odorheiu Secuiesc,männlich,,1944,75,0,lebt,premieren,
Oper Köln,Köln,Ijob,1,Wilfried Hiller,Wilfried Hiller,Weißenhorn,männlich,1941-03-15 00:00:00+00:00,1941,78,0,lebt,wiederaufnahmen,
"Oper, Ballett und Junge Oper Dortmund",Dortmund,Echnaton,7,Philip Glass,Philip Glass,Baltimore,männlich,1937-01-31 00:00:00+00:00,1937,82,0,lebt,premieren,
Theater und Philharmoie Essen,Essen,Medea,5,Aribert Reimann,Aribert Reimann,Berlin,männlich,1936-03-04 00:00:00+00:00,1936,83,0,lebt,premieren,
Oper Köln,Köln,Mare Nostrum,4,Mauricio Kagel,Mauricio Kagel,Buenos Aires,männlich,1931-12-24 00:00:00+00:00,1931,88,2008,Tot,premieren,
Theater Aachen,Aachen,Elegie für junge Liebende,3,,Hans Werner Henze,Gütersloh,männlich,,1926,93,2019,Tot,premieren,
Oper Köln,Köln,Adam Schaf hat Angst,5,Georg Kreisler,Georg Kreisler,Wien,männlich,1922-07-18 00:00:00+00:00,1922,97,2011,Tot,wiederaufnahmen,
"Musiktheater im Revier, Gelsenkirchen",Gelsenkirchen,Mass,9,Leonard Bernstein,Leonard Bernstein,Lawrence,männlich,1918-08-25 00:00:00+00:00,1918,101,1990,Tot,premieren,
Theater Aachen,Aachen,Troubel in Tahiti / A Quiet Place,8,Leonard Bernstein,Leonard Bernstein,Lawrence,männlich,1918-08-25 00:00:00+00:00,1918,101,1990,Tot,premieren,
"Oper, Ballett und Junge Oper Dortmund",Dortmund,West Side Story,15,Leonard Bernstein,Leonard Bernstein,Lawrence,männlich,1918-08-25 00:00:00+00:00,1918,101,1990,Tot,premieren,
Oper Köln,Köln,Peter Grimes,5,Benjamin Britten,Benjamin Britten,Lowestoft,männlich,1913-11-22 00:00:00+00:00,1913,106,1976,Tot,premieren,
Wuppertaler Bühnen,Wuppertal,Play Europeras 1&2,10,John Cage,John Cage,Los Angeles,männlich,1912-09-05 00:00:00+00:00,1912,107,1992,Tot,premieren,
"Musiktheater im Revier, Gelsenkirchen",Gelsenkirchen,Mahagonny,8,Kurt Weill,Kurt Weill,Dessau,männlich,1900-03-02 00:00:00+00:00,1900,119,1950,Tot,premieren,
Oper Köln,Köln,Street Scene,7,Kurt Weill,Kurt Weill,Dessau,männlich,1900-03-02 00:00:00+00:00,1900,119,1950,Tot,premieren,
Theater Krefeld Mönchengladbach,Krefeld/Mönchengladbach,Die Gespräche der Karmeliterinnen,6,Francis Poulenc,Francis Poulenc,Paris,männlich,1899-01-07 00:00:00+00:00,1899,120,1963,Tot,premieren,
Theater/Oper/Schauspiel Bonn,Bonn,Der Kaiser von Atlantis,5,Viktor Ullmann,Viktor Ullmann,Český Těšín,männlich,1898-01-01 00:00:00+00:00,1898,121,1944,Tot,premieren,
Wuppertaler Bühnen,Wuppertal,Die tote Stadt,3,Erich Wolfgang Korngold,Erich Wolfgang Korngold,Brünn,männlich,1897-05-29 00:00:00+00:00,1897,122,1957,Tot,premieren,
